Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Hoppers Crossing,182 Morris Rd,3,h,516000,S,hockingstuart,12/8/2017 0:00,18.4,3029,3,1,1,537,,,Wyndham City Council,-37.86833,144.7035,Western Metropolitan,13830
Glen Iris,30 Lomond St,4,h,1850000,PI,Marshall,17/03/2018,7.3,3146,4,3,2,334,,,Boroondara City Council,-37.84881,145.06128,Southern Metropolitan,10412
Deepdene,3/3 Meadow Gr,4,t,1750000,S,Jellis,26/08/2017,7.9,3103,,,,,,,Boroondara City Council,,,Southern Metropolitan,892
Cheltenham,9 Allnutt Ct,3,h,800000,PI,Ray,6/1/2018 0:00,17.9,3192,3,1,2,585,123,1965,Bayside City Council,-37.9685,145.07538,Southern Metropolitan,9758
Brunswick,11 Heller St,5,h,2545000,S,Jellis,27/05/2017,5.2,3056,5,3,4,957,320,1995,Moreland City Council,-37.77501,144.95117,Northern Metropolitan,11918
Brooklyn,73 Cypress Av,4,h,,VB,hockingstuart,3/3/2018 0:00,6.4,3012,4,2,2,736,,,Brimbank City Council,-37.82083,144.84254,Western Metropolitan,962
Carlton North,1032 Drummond St,5,h,,S,Nelson,24/06/2017,3.5,3054,5,3,1,884,,,Melbourne City Council,-37.7801,144.97216,Northern Metropolitan,3106
Chadstone,12 Mawarra Cr,3,h,1080000,S,Buxton,25/11/2017,11.7,3148,,,,,,,Monash City Council,,,Southern Metropolitan,3582
Frankston,7 Orrong Av,3,h,1010000,S,Ray,9/9/2017 0:00,38,3199,3,2,2,306,125,1970,Frankston City Council,-38.1386,145.12142,South-Eastern Metropolitan,17055
Hillside,110 Allenby Rd,4,h,628000,S,Barry,16/09/2017,18,3037,4,2,1,480,120,2003,Brimbank City Council,-37.70228,144.74316,Western Metropolitan,5556
Mount Waverley,364 Highbury Rd,5,h,2105000,PI,Jellis,28/10/2017,14.2,3149,5,3,2,650,,,Monash City Council,-37.85818,145.13546,Eastern Metropolitan,13366
Cheltenham,30 Snowdon Dr,4,h,1205000,S,Barry,18/11/2017,17.9,3192,4,2,2,,,,Bayside City Council,-37.974,145.0818,Southern Metropolitan,9758
Brighton East,2/13 Tatong Rd,3,h,,S,Marshall,7/5/2016 0:00,10.7,3187,3,2,2,196,115,2009,Bayside City Council,-37.9302,145.029,Southern Metropolitan,6938
Hawthorn,7/14 Oak St,2,u,660000,S,Jellis,19/08/2017,5.3,3122,2,1,1,,,,Boroondara City Council,-37.8141,145.01782,Southern Metropolitan,11308
Balwyn,12 Jersey St,5,h,,S,RW,21/10/2017,7.9,3103,5,4,2,696,341,1995,Boroondara City Council,-37.81422,145.0766,Southern Metropolitan,5682
Flemington,25 Elm St,3,h,1220000,SP,Nelson,12/8/2017 0:00,3.4,3031,3,1,1,293,104,1900,Melbourne City Council,-37.78446,144.92797,Northern Metropolitan,3593
St Kilda,105/60 Wellington St,2,u,482000,S,McGrath,29/04/2017,6.1,3182,2,1,1,0,54,2004,Port Phillip City Council,-37.857,144.9867,Southern Metropolitan,13240
Balwyn,1/18 Weir St,2,u,602000,S,Noel,27/05/2017,7.9,3103,2,1,1,1129,72,1960,Boroondara City Council,-37.81623,145.0841,Southern Metropolitan,5682
Coburg,25 Beaumonde St,4,t,680000,S,Collins,13/05/2017,7.8,3058,4,2,1,3747,143,2006,Darebin City Council,-37.7551,144.9787,Northern Metropolitan,11204
Sunshine North,37 Westmoreland Rd,3,h,870500,S,Douglas,3/3/2018 0:00,10.5,3020,3,1,2,575,140,1970,Brimbank City Council,-37.77426,144.83497,Western Metropolitan,4217
Prahran,14 Ellesmere La,2,h,1250000,VB,Jellis,11/11/2017 0:00,4.6,3181,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717
Sunshine North,3/21 Suffolk Rd,3,t,495000,SP,Barry,30/07/2016,13.3,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,4217
Oak Park,4/656 Pascoe Vale Rd,2,u,541000,S,Brad,17/03/2018,11.2,3046,,,,,,,Moreland City Council,,,Northern Metropolitan,2651
Pascoe Vale,6/99 Kent Rd,2,t,480000,S,Ray,6/8/2016 0:00,9.9,3044,,,,,,,Moreland City Council,,,Northern Metropolitan,7485
Epping,3 Dryandra Av,3,h,547000,S,Harcourts,17/06/2017,19.6,3076,,,,,,,Whittlesea City Council,,,Northern Metropolitan,10926
Kew East,22 Westbrook St,4,h,1880000,S,Marshall,18/11/2017,7.3,3102,4,1,1,625,,1920,Boroondara City Council,-37.7968,145.0527,Southern Metropolitan,2671
Moonee Ponds,3 Norfolk St,2,h,900000,S,Nelson,28/08/2016,6.9,3039,2,1,1,339,,,Moonee Valley City Council,-37.7651,144.9078,Western Metropolitan,6232
Bentleigh East,4 Box Ct,3,h,1640000,S,Buxton,29/04/2017,13.9,3165,3,1,2,733,,,Glen Eira City Council,-37.9219,145.0518,Southern Metropolitan,10969
Rosanna,14 Milford Gr,4,h,1720000,S,Miles,27/11/2016,11.4,3084,4,4,2,1215,,,Banyule City Council,-37.7387,145.0729,Eastern Metropolitan,3540
Richmond,35 Shelley St,2,h,1360000,SP,Jellis,9/12/2017 0:00,2.4,3121,2,1,,139,65,1920,Yarra City Council,-37.8118,144.99374,Northern Metropolitan,14949
Ascot Vale,1 East St,3,t,1000000,S,Nelson,27/11/2016,5.9,3032,3,2,2,200,144,2003,Moonee Valley City Council,-37.7766,144.9277,Western Metropolitan,6567
Wyndham Vale,3 Merri St,3,h,500500,S,hockingstuart,4/11/2017 0:00,27.2,3024,,,,,,,Wyndham City Council,,,Western Metropolitan,5262
Bentleigh East,9a Lois Ct,4,t,,S,Buxton,8/7/2017,13.8,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Brooklyn,7 Stenhouse Av,3,h,820000,SP,hockingstuart,17/06/2017,6.4,3012,,,,,,,Brimbank City Council,,,Western Metropolitan,962
Kingsville,5/35 Kingsville St,1,u,210000,PI,Jas,1/7/2017,6.4,3012,1,1,1,0,,,Maribyrnong City Council,-37.80893,144.87878,Western Metropolitan,1808
Sunshine North,4 Maldon Ct,3,h,690000,S,Bells,6/1/2018,10.5,3020,3,1,2,,,,Brimbank City Council,-37.76109,144.82381,Western Metropolitan,4217
Surrey Hills,22b Essex Rd,4,h,2200000,S,Jellis,7/5/2016,11.2,3127,4,2,2,734,272,1920,Boroondara City Council,-37.8286,145.092,Southern Metropolitan,5457
Carnegie,2/60 Woornack Rd,2,u,635000,S,Noel,6/5/2017,11.4,3163,2,1,1,0,73,1980,Glen Eira City Council,-37.8981,145.0619,Southern Metropolitan,7822
Yarraville,1a Sturt St,2,t,,SP,Sweeney,25/11/2017,6.3,3013,2,1,2,,107,2001,Maribyrnong City Council,-37.8127,144.8792,Western Metropolitan,6543
Mentone,7/3 Childers St,1,u,385000,S,O'Brien,28/10/2017,20,3194,,,,239,,,Kingston City Council,-37.98223,145.06781,South-Eastern Metropolitan,6162
Collingwood,130 Perry St,3,t,910000,S,Jellis,10/9/2016,1.6,3066,3,1,1,171,,,Yarra City Council,-37.8006,144.9925,Northern Metropolitan,4553
Sunshine North,3 Belmore Rd,4,h,775000,S,Douglas,29/04/2017,13.3,3020,4,1,2,665,147,1980,Brimbank City Council,-37.7662,144.8383,Western Metropolitan,4217
Ivanhoe,1/100 St Elmo Rd,2,u,450000,S,Miles,19/11/2016,7.9,3079,2,1,1,0,,,Banyule City Council,-37.759,145.047,Eastern Metropolitan,5549
Vermont South,440 Burwood Hwy,4,h,1600000,S,Buxton,11/11/2017,17.2,3133,10,6,7,650,,,Whitehorse City Council,-37.8563,145.1782,Eastern Metropolitan,4280
Hughesdale,1A Rugby Rd,3,h,1480000,S,Woodards,28/10/2017,12.3,3166,3,2,2,613,,,Monash City Council,-37.89371,145.08576,Southern Metropolitan,3145
Abbotsford,85 Turner St,2,h,1480000,S,Biggin,3/12/2016 0:00,2.5,3067,2,1,1,202,,,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019
Berwick,10 Gardiner St,5,h,960000,SP,Barry,6/1/2018 0:00,35.2,3806,5,3,,868,235,1971,Casey City Council,-38.02406,145.35148,Eastern Victoria,17093
West Footscray,107 Alma St,3,h,1575000,S,Sweeney,25/02/2017,8.2,3012,3,1,4,1000,85,1930,Maribyrnong City Council,-37.7936,144.8639,Western Metropolitan,5058
Surrey Hills,7 Wandsworth Rd,4,h,3851000,S,Fletchers,16/09/2017,10.2,3127,4,4,2,,432,2004,Boroondara City Council,-37.81865,145.09223,Southern Metropolitan,5457
Greenvale,2 Terrick Ct,5,h,741000,PI,LJ,25/11/2017,20.4,3059,5,3,2,,390,2009,Hume City Council,-37.6115,144.9095,Northern Metropolitan,4864
Balwyn North,5 Carrington St,4,h,1850000,VB,Jellis,7/11/2016 0:00,9.2,3104,4,2,2,619,254,1990,Boroondara City Council,-37.8025,145.0843,Southern Metropolitan,7809
Prahran,83 Bendigo St,2,h,,VB,Marshall,25/11/2017,4.6,3181,2,1,,150,94,1900,Stonnington City Council,-37.8493,144.9975,Southern Metropolitan,7717
Airport West,33 Bowes Av,5,h,1035000,S,Airport,6/8/2016 0:00,13.5,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Richmond,18 Reeves Cr,3,h,1395000,S,Biggin,26/07/2016,2.6,3121,,,,,,,Yarra City Council,,,Northern Metropolitan,14949
Templestowe Lower,97 Foote St,4,h,1515000,S,Philip,23/09/2017,12.4,3107,4,3,2,,,,Manningham City Council,-37.758,145.12175,Eastern Metropolitan,5420
Brunswick,109 Stewart St,3,h,1080000,S,Nelson,28/08/2016,5.2,3056,3,2,1,316,,,Moreland City Council,-37.7643,144.9713,Northern Metropolitan,11918
Tullamarine,3/32 Banksia Gr,2,u,530000,S,Jason,26/08/2017,12.9,3043,2,1,1,,86,2004,Brimbank City Council,-37.70501,144.88182,Western Metropolitan,3296
Clayton South,17 Simon St,3,h,955000,S,Fletchers,7/10/2017 0:00,17.5,3169,3,1,1,598,115,1970,Kingston City Council,-37.93371,145.11219,South-Eastern Metropolitan,4734
Kew,1 Belmont Av,6,h,,S,Marshall,28/10/2017,5.4,3101,6,2,2,760,0,1957,Boroondara City Council,-37.80913,145.0421,Southern Metropolitan,10331
Airport West,25 Glenys Av,3,h,730000,S,Barry,21/10/2017,10.4,3042,3,1,1,377,111,1970,Moonee Valley City Council,-37.72313,144.87527,Western Metropolitan,3464
Port Melbourne,2 Morley St,3,h,,SP,Marshall,28/05/2016,3.8,3207,3,2,2,242,,,Melbourne City Council,-37.8393,144.9323,Southern Metropolitan,8648
Keilor Park,49a Spence St,3,u,616000,S,Barry,22/04/2017,14.5,3042,3,1,2,431,,,Brimbank City Council,-37.721,144.8584,Western Metropolitan,1119
Broadmeadows,1 Bicknell Ct,3,h,500000,PI,Love,9/12/2017 0:00,14,3047,3,1,1,404,86,1960,Hume City Council,-37.69412,144.92005,Northern Metropolitan,4294
Brighton East,9 Margaret St,4,h,,SP,Hodges,24/06/2017,10.3,3187,4,3,2,644,,,Bayside City Council,-37.92018,145.01022,Southern Metropolitan,6938
Mitcham,9 Davison St,3,h,1071000,S,Noel,12/8/2017 0:00,17.2,3132,3,1,2,684,,,Whitehorse City Council,-37.82771,145.20763,Eastern Metropolitan,6871
Airport West,23 Matthews Av,4,h,790000,VB,Barry,6/1/2018 0:00,10.4,3042,4,2,1,585,178,2015,Moonee Valley City Council,-37.73344,144.88925,Western Metropolitan,3464
Seddon,6 Staff St,4,h,920000,PI,Biggin,28/05/2016,6.6,3011,2,1,0,274,,,Maribyrnong City Council,-37.8039,144.8929,Western Metropolitan,2417
Ashwood,3/5 Yileen Ct,3,t,917500,S,Buxton,23/09/2017,10.2,3147,,,,,,,Monash City Council,,,Southern Metropolitan,2894
Southbank,92/99 Whiteman St,2,u,650000,VB,Marshall,6/8/2016,1.2,3006,2,2,1,0,110,2000,Melbourne City Council,-37.8273,144.9556,Southern Metropolitan,8400
Westmeadows,7 Forman St,4,h,760000,SP,YPA,11/11/2017,16.5,3049,4,2,2,565,,,Hume City Council,-37.6799,144.8901,Northern Metropolitan,2474
Newport,3/23 Carmen St,3,t,810000,SP,Greg,23/09/2017,6.2,3015,3,1,2,,,,Hobsons Bay City Council,-37.84224,144.86624,Western Metropolitan,5498
East Melbourne,47 Agnes St,3,h,,SP,Castran,24/02/2018,1.3,3002,3,3,2,192,210,1879,Melbourne City Council,-37.81728,144.97987,Northern Metropolitan,3040
Strathmore,49 Glenview Rd,4,h,1265000,S,Brad,7/5/2016,9.7,3041,3,1,1,649,,1950,Moonee Valley City Council,-37.7367,144.9204,Western Metropolitan,3284
Richmond,7/33 Goodwood St,1,u,,S,Jellis,18/03/2017,2.6,3121,1,1,1,889,,1970,Yarra City Council,-37.8198,144.996,Northern Metropolitan,14949
Port Melbourne,3 Esplanade Pl,2,h,1200000,VB,Greg,9/12/2017,3.5,3207,2,2,1,122,126,2002,Melbourne City Council,-37.83705,144.94515,Southern Metropolitan,8648
Bentleigh,4a Rosina St,4,t,1247000,S,hockingstuart,15/10/2016,13,3204,4,2,3,354,255,2008,Glen Eira City Council,-37.9326,145.0441,Southern Metropolitan,6795
Pascoe Vale,1A Braeside St,2,t,510000,PI,Nelson,22/07/2017,8.5,3044,2,1,1,129,88.3,2012,Moreland City Council,-37.71865,144.95018,Northern Metropolitan,7485
Kensington,28 Pridham St,5,h,1001000,S,Rendina,24/09/2016,4.2,3031,3,1,0,301,,,Melbourne City Council,-37.7896,144.9307,Northern Metropolitan,5263
Brunswick East,17 Roberts St,2,h,1220000,SP,Nelson,29/07/2017,4,3057,2,1,1,459,,,Moreland City Council,-37.76695,144.98204,Northern Metropolitan,5533
Eaglemont,1 Cumberland St,4,h,,S,Nelson,19/08/2017,8.9,3084,4,3,2,,,,Banyule City Council,-37.76204,145.06686,Eastern Metropolitan,1651
Forest Hill,18 Sherman St,2,h,976000,S,McGrath,19/08/2017,15.4,3131,2,1,1,,97,1970,Whitehorse City Council,-37.83764,145.18157,Eastern Metropolitan,4385
Elwood,22/29 Dickens St,3,u,780000,S,Chisholm,12/11/2016,7.7,3184,3,1,1,0,100,1960,Port Phillip City Council,-37.8726,144.9846,Southern Metropolitan,8989
Glen Iris,1/6 Hope St,3,t,1900000,VB,Jellis,1/7/2017,7.3,3146,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Avondale Heights,43 Riverside Av,3,h,825000,S,Brad,8/10/2016,10.5,3034,,,,,,,Moonee Valley City Council,,,Western Metropolitan,4502
Oak Park,4 Draska Ct,3,h,790000,VB,Brad,24/02/2018,11.2,3046,3,2,2,540,155,,Moreland City Council,-37.71425,144.9053,Northern Metropolitan,2651
Hampton,68/15 Beach Rd,3,u,,SP,Buxton,3/6/2017,13.8,3188,3,2,2,0,,,Bayside City Council,-37.93464,144.99601,Southern Metropolitan,5454
Reservoir,9 Elsey Rd,3,h,,VB,Ray,28/08/2016,11.2,3073,3,1,1,743,,,Darebin City Council,-37.7054,145.0139,Northern Metropolitan,21650
Ringwood,24 Burwood Av,4,h,1150000,PI,@Realty,25/11/2017,19.9,3134,4,2,1,702,,,Maroondah City Council,-37.8138,145.2176,Eastern Metropolitan,7785
Hadfield,72 Middle St,3,h,721000,S,Brad,12/11/2016,12.1,3046,3,1,3,539,,1960,Moreland City Council,-37.7098,144.9446,Northern Metropolitan,2606
Bentleigh East,5A Bayview St,3,t,1350000,SP,Buxton,27/05/2017,13.8,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Heidelberg West,3/9 Exeter Ct,2,u,450000,S,Buckingham,7/10/2017,8.8,3081,,,,,,,Banyule City Council,,,Eastern Metropolitan,2674
Hawthorn,8/27 Hill St,1,u,487000,S,Jellis,14/10/2017,5.3,3122,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308
Eltham,1 Nioka Ct,3,h,720000,VB,Buckingham,7/10/2017,18,3095,3,2,2,794,,,Banyule City Council,-37.71417,145.13707,Eastern Metropolitan,6990
West Melbourne,236 Roden St,3,t,1251000,SP,Jellis,16/09/2017,3.1,3003,3,3,1,,,,Melbourne City Council,-37.80978,144.94476,Northern Metropolitan,2230
Glenroy,53 Tarana Av,3,h,,PI,Nelson,24/02/2018,11.2,3046,3,1,1,433,,,Moreland City Council,-37.7115,144.90519,Northern Metropolitan,8870
Brunswick East,503/200 Lygon St,2,u,500000,S,Jellis,13/05/2017,4.5,3057,2,1,1,1556,,2013,Moreland City Council,-37.7721,144.9719,Northern Metropolitan,5533
Greenvale,5 Edinburgh Ct,4,h,818000,S,Barry,3/3/2018 0:00,20.4,3059,4,3,2,908,,,Hume City Council,-37.6607,144.9035,Northern Metropolitan,4864
Greenvale,75 Horizon Bvd,4,h,,SN,RE,27/05/2017,20.4,3059,,,,,,,Hume City Council,,,Northern Metropolitan,4864
Yarraville,94 Ballarat St,3,h,,S,Jas,3/12/2016 0:00,7,3013,,,,,,,Maribyrnong City Council,,,Western Metropolitan,6543
Reservoir,1 Acheron Av,3,h,890000,S,hockingstuart,17/06/2017,12,3073,,,,,,,Darebin City Council,,,Northern Metropolitan,21650
Balwyn North,5 Arama St,3,h,,S,Jellis,6/8/2016 0:00,9.2,3104,4,1,2,709,,,Boroondara City Council,-37.7851,145.0974,Southern Metropolitan,7809
Essendon,20/6 Winifred St,2,t,580000,VB,Barry,15/10/2016,8,3040,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
Epping,44 Wuchatsch Av,4,h,,SN,Barry,24/06/2017,19.6,3076,,,,,,,Whittlesea City Council,,,Northern Metropolitan,10926
Moonee Ponds,29 Winchester St,2,h,1015000,S,Nelson,14/05/2016,6.9,3039,2,1,1,228,125,1910,Moonee Valley City Council,-37.7685,144.9183,Western Metropolitan,6232
Wantirna South,9/91 Jenola Pde,3,t,800000,SP,Barry,10/3/2018 0:00,14.7,3152,,,,,,,Knox City Council,,,Eastern Metropolitan,7082
Elwood,3/44 Scott St,3,t,940000,S,Chisholm,14/05/2016,7.7,3184,3,1,1,0,,,Port Phillip City Council,-37.8808,144.9893,Southern Metropolitan,8989
Sunshine West,20 McCoubrie Av,3,h,,SN,Barry,3/9/2017 0:00,10.5,3020,3,1,2,,105,1970,Brimbank City Council,-37.80236,144.82533,Western Metropolitan,6763
Ringwood,9 Bader Ct,4,h,,PI,Noel,17/03/2018,19.9,3134,4,2,2,746,168,1970,Maroondah City Council,-37.79183,145.2464,Eastern Metropolitan,7785
Moonee Ponds,113 Buckley St,1,u,1685000,S,Nelson,18/06/2016,6.9,3039,,,,,,,Moonee Valley City Council,-37.7571,144.9167,Western Metropolitan,6232
Dingley Village,8 Rhoda St,3,h,952000,S,Ray,6/1/2018 0:00,22.2,3172,3,1,2,795,152,1975,Kingston City Council,-37.98604,145.13088,South-Eastern Metropolitan,3940
Southbank,61/88 Wells St,3,u,720000,VB,VICPROP,30/07/2016,1.2,3006,3,2,1,0,112,,Melbourne City Council,-37.8273,144.9685,Southern Metropolitan,8400
Emerald,80 Kilvington Dr,1,h,462000,S,Eview,3/2/2018 0:00,36.9,3782,1,1,0,1034,42,1960,Cardinia Shire Council,-37.94625,145.44082,Eastern Victoria,2259
Thomastown,2/11 French St,3,u,542000,S,Ray,1/7/2017 0:00,15.3,3074,3,2,2,213,,,Whittlesea City Council,-37.67748,145.01791,Northern Metropolitan,7955
Coburg,4 Parklane Mw,3,t,,SP,Jellis,7/10/2017 0:00,6.7,3058,3,2,2,177,144,2000,Darebin City Council,-37.74091,144.97626,Northern Metropolitan,11204
Mont Albert,47 Zetland Rd,3,h,1564000,S,Jellis,27/11/2016,11.8,3127,3,2,2,640,117,1950,Boroondara City Council,-37.8173,145.1123,Eastern Metropolitan,2079
Airport West,155a Parer Rd,2,u,530000,S,Barry,17/03/2018,10.4,3042,2,1,1,273,80,,Moonee Valley City Council,-37.71903,144.87558,Western Metropolitan,3464
Brunswick,2/168 Barkly St,2,h,1004000,S,Nelson,21/10/2017,5.2,3056,,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Essendon,3/25 Wright St,1,u,325000,S,Brad,8/10/2016 0:00,8,3040,1,1,1,0,,1975,Moonee Valley City Council,-37.7447,144.9184,Western Metropolitan,9264
Brunswick West,3/26 Irvine Cr,2,u,480000,PI,Brad,24/06/2017,5.2,3055,,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Middle Park,79 Hambleton St,2,h,,SN,Cayzer,10/2/2018 0:00,3,3206,2,1,0,,,,Port Phillip City Council,-37.84656,144.95947,Southern Metropolitan,2019
East Melbourne,58/1 Wellington Cr,3,u,1155000,SA,Harcourts,22/08/2016,1.5,3002,,,,,,,Melbourne City Council,,,Northern Metropolitan,3040
Thornbury,41 Gooch St,2,h,1105000,S,Nelson,24/02/2018,7,3071,2,1,,193,102,1930,Darebin City Council,-37.75813,145.00362,Northern Metropolitan,8870
Boronia,3 Devenish Rd,3,h,785000,S,iTRAK,15/07/2017,25,3155,3,2,2,723,138,1980,Knox City Council,-37.85284,145.26942,Eastern Metropolitan,9704
Altona North,23 Rymill Ct,3,h,910000,S,hockingstuart,29/04/2017,11.1,3025,3,1,3,535,132,1970,Hobsons Bay City Council,-37.8322,144.8399,Western Metropolitan,5132
West Melbourne,304/162 Rosslyn St,2,u,,PN,Rombotis,18/03/2017,1.9,3003,2,1,1,0,54,2014,Melbourne City Council,-37.8091,144.949,Northern Metropolitan,2230
Ormond,37 Bethell St,4,h,1920000,S,Jellis,14/10/2017,11.4,3204,4,2,2,659,,1920,Glen Eira City Council,-37.90402,145.03029,Southern Metropolitan,3578
Heidelberg West,1 Calola St,3,h,1265000,S,William,7/10/2017,8.8,3081,3,1,1,704,,,Banyule City Council,-37.74305,145.04231,Eastern Metropolitan,2674
Yarraville,2C Castlemaine St,3,h,1425000,PI,Jas,29/04/2017,7,3013,3,3,2,305,220,2007,Maribyrnong City Council,-37.8149,144.8942,Western Metropolitan,6543
Fawkner,16a Derby St,2,t,,SN,Ray,8/10/2016,12.4,3060,,,,,,,Hume City Council,,,Northern Metropolitan,5070
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464
Windsor,146 Punt Rd,3,h,,SP,hockingstuart,4/3/2017,5.1,3181,3,1,3,0,,,Port Phillip City Council,-37.8511,144.9843,Southern Metropolitan,4380
St Kilda,3/15 Mitchell St,2,u,570000,S,Pride,12/11/2016,6.1,3182,2,1,1,628,,1960,Port Phillip City Council,-37.8681,144.9844,Southern Metropolitan,13240
Thomastown,84 The Boulevard,3,h,740000,S,Harcourts,27/05/2017,15.3,3074,3,1,2,727,109,1952,Whittlesea City Council,-37.67873,145.01878,Northern Metropolitan,7955
Keilor,36 Barwon Av,5,h,685000,S,Daniel,18/11/2017,14.5,3036,5,2,2,,,,Brimbank City Council,-37.7163,144.8246,Western Metropolitan,2339
Essendon,104 Hoffmans Rd,4,h,900000,S,Barry,3/9/2017,7.5,3040,4,1,1,478,,,Moonee Valley City Council,-37.74424,144.89149,Western Metropolitan,9264
Sunshine North,6 Prince St,4,h,640000,S,Barry,12/11/2016,13.3,3020,4,1,1,609,,,Brimbank City Council,-37.7661,144.8396,Western Metropolitan,4217
Epping,37 Bacchus Dr,4,h,,VB,Love,3/3/2018,19.6,3076,4,3,2,370,189,2010,Whittlesea City Council,-37.62614,145.03306,Northern Metropolitan,10926
Langwarrin,3/9 Margaret St,3,h,564000,S,hockingstuart,3/9/2017,41,3910,,,,,,,Frankston City Council,,,Eastern Victoria,8743
Melbourne,608/547 Flinders La,2,u,370000,S,MICM,8/10/2016,2.8,3000,,,,,,,Melbourne City Council,,,Northern Metropolitan,17496
Bentleigh East,6/87 East Boundary Rd,2,u,,SN,Gary,28/10/2017,13.8,3165,,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Camberwell,4 Morey St,2,h,,S,Marshall,28/10/2017,7.7,3124,2,1,1,,,,Boroondara City Council,-37.84115,145.09288,Southern Metropolitan,8920
Camberwell,128A Fordham Av,3,t,,PI,Jellis,23/09/2017,7.7,3124,3,3,2,,173,2014,Boroondara City Council,-37.84531,145.07696,Southern Metropolitan,8920
South Yarra,12/48 Darling St,3,u,780000,S,Marshall,26/08/2017,2.7,3141,3,1,1,,77,1970,Melbourne City Council,-37.83578,144.99211,Southern Metropolitan,14887
Sunshine West,83 Gresham Wy,4,h,702500,S,S&L,7/10/2017,10.5,3020,4,2,2,903,187,2002,Brimbank City Council,-37.80053,144.80459,Western Metropolitan,6763
Melton,57 Rosina Dr,3,h,428000,S,hockingstuart,11/11/2017,31.7,3337,3,2,2,,,,Melton City Council,-37.6857,144.5705,Western Victoria,3600
Yarraville,76 Kidman St,3,h,670000,PI,Biggin,27/06/2016,7,3013,3,1,1,463,119,1950,Maribyrnong City Council,-37.8137,144.8636,Western Metropolitan,6543
Taylors Hill,5 Addicott Wy,4,h,675000,S,O'Brien,11/11/2017,18,3037,4,2,2,618,175,2006,Melton City Council,-37.7195,144.7494,Western Metropolitan,4242
Werribee,114 Market Rd,3,h,441000,SP,YPA,28/10/2017,14.7,3030,3,1,1,598,,,Wyndham City Council,-37.89013,144.65315,Western Metropolitan,16166
Heidelberg,2/14 Edgar St,3,t,835000,VB,hockingstuart,29/07/2017,8.9,3084,3,2,2,161,135,2010,Banyule City Council,-37.74897,145.07024,Eastern Metropolitan,2890
Watsonia,5 Daours Ct,4,h,932500,S,Miles,22/04/2017,14.9,3087,4,2,2,585,180,1950,Banyule City Council,-37.7154,145.0777,Northern Metropolitan,2329
Maidstone,40 Howard St,3,h,740000,S,Sweeney,25/02/2017,9.2,3012,3,1,2,333,,1950,Maribyrnong City Council,-37.7889,144.8787,Western Metropolitan,3873
Jacana,29 Hendricks Cr,4,h,650000,S,Stockdale,19/08/2017,14,3047,4,3,1,693,120,1980,Hume City Council,-37.68196,144.90661,Northern Metropolitan,851
South Melbourne,1009/148 Wells St,2,u,561000,S,MICM,18/03/2017,2.1,3205,2,1,1,0,78,2001,Port Phillip City Council,-37.8308,144.9694,Southern Metropolitan,5943
Bentleigh,3A Durban St,3,t,1300000,VB,Jellis,24/02/2018,11.4,3204,3,2,2,275,,2012,Glen Eira City Council,-37.92662,145.04846,Southern Metropolitan,6795
Sandringham,2/190 Bay Rd,3,u,870000,VB,Buxton,3/2/2018 0:00,15.2,3191,,,,,,,Bayside City Council,,,Southern Metropolitan,4497
Malvern East,15 Prior Rd,3,h,1335000,S,Stockdale,27/11/2016,11.2,3145,3,2,2,606,133,1965,Stonnington City Council,-37.8831,145.0879,Southern Metropolitan,8801
Brunswick,1/182 Albion St,3,h,1050000,SP,hockingstuart,4/6/2016 0:00,5.2,3056,3,1,2,264,,,Moreland City Council,-37.7611,144.9644,Northern Metropolitan,11918
Surrey Hills,26 Everton Gr,4,h,1490000,S,Noel,20/05/2017,11.2,3127,4,1,4,605,,,Boroondara City Council,-37.8292,145.1053,Southern Metropolitan,5457
Armadale,75 Sutherland Rd,3,h,1285000,S,Marshall,25/02/2017,6.3,3143,3,1,2,186,80,1920,Stonnington City Council,-37.8554,145.0173,Southern Metropolitan,4836
Black Rock,3/34 Second St,3,u,,S,Charlton,6/1/2018 0:00,17.3,3193,,,,,,,Bayside City Council,,,Southern Metropolitan,2866
Greenvale,3 Monteiro Ct,4,h,,PI,LJ,3/2/2018 0:00,20.4,3059,4,2,2,,,,Hume City Council,-37.61413,144.91236,Northern Metropolitan,4864
Oakleigh,17 Abbeygate St,3,h,1215000,S,Woodards,21/10/2017,12.3,3166,3,1,2,536,,,Monash City Council,-37.90561,145.08982,Southern Metropolitan,3224
